ImageId,EncodedPixels
393_5823_RGB_2020_02_07, 4115 1 4627 1 5139 1 35858 2 36371 1 36883 1 37395 1 37907 1 38419 1 38931 1 39443 1 39955 1 40467 1 40979 1 41491 1 42003 1 42515 1 43027 1 43539 1 44051 1 44563 1 45075 1 45587 1 56339 1 56851 1 57363 1 57875 1 58387 1 58899 1 59411 1 59923 1 60435 1 60947 1 61459 1 61971 1 62483 1 62995 1 63507 1 64019 1 64531 1 65043 1 65555 1 75283 1 75795 1 76307 1 76819 1 77331 1 77843 1 78355 1 78867 1 79379 1 79891 1 80403 1 80915 1 81427 1 81939 1 82451 1 82963 1 83475 1 83987 1 94227 1 94739 1 95251 1 95763 1 96275 1 96787 1 97299 1 97811 1 98323 1 98835 1 99347 1 99859 1 100371 1 100883 1 101395 1 101907 1 102419 1 102930 1 112659 1 113171 1 113683 1 114195 1 114707 1 115219 1 115731 1 116243 1 116755 1 117267 1 117779 1 118291 1 118803 1 119315 1 119827 1 120339 1 120851 1 121363 1 129555 1 130067 1 130579 1 131091 1 131603 1 132115 1 132627 1 133139 1 133651 1 134163 1 134675 1 135187 1 135699 1 136211 1 136723 1 137235 1 137747 1 138259 1 138771 1 139283 1 150034 1 150547 1 151059 1 151571 1 152083 1 152595 1 153107 1 153619 1 154131 1 154643 1 155155 1 155667 1 156179 1 156691 1 157203 1 157715 1 158227 1 158739 1 171026 1 171539 1 172051 1 172563 1 173075 1 173587 1 174099 1 174611 1 175122 2 186387 1 186899 1 187411 1 187923 1 188435 1 188947 1 189459 1 189971 1 190483 1 190995 1 191507 1 192019 1 192531 1 193043 1 193555 1 194067 1 194579 1 195091 1 206866 1 207379 1 207891 1 208403 1 208915 1 209427 1 209939 1 210451 1 210963 1 211475 1 211987 1 212499 1 213011 1 213523 1 214035 1 214547 1 215059 1 215571 1 216083 1 244242 1 244754 1 245267 1 245779 1 246291 1 246803 1 247315 1 247827 1 248339 1 248851 1 249363 1 249875 1 250387 1 250898 1
393_5823_RGB_2020_02_07, 37402 1 37914 1 38426 1 38938 1 39450 1 39962 1 40474 1 40986 1 41498 1 42010 1 42522 1 43034 1 43546 1 44058 1 44570 1 45082 1 45594 1 46106 1 56346 1 56858 1 57370 1 57882 1 58394 1 58906 1 59418 1 59930 1 60442 1 60954 1 61466 1 61978 1 62490 1 63002 1 63514 1 64026 1 64538 1 65050 1 75290 1 75802 1 76314 1 76826 1 77338 1 77850 1 78362 1 78874 1 79386 1 79898 1 80410 1 80922 1 81434 1 81946 1 82458 1 82970 1 93722 1 94234 1 94746 1 95258 1 95770 1 96282 1 96794 1 97306 1 97818 1 98330 1 98842 1 99354 1 99866 1 100378 1 100890 1 101402 1 101914 1 102426 1 112154 1 112666 1 113178 1 113690 1 114202 1 114714 1 115226 1 115738 1 116250 1 116762 1 117274 1 117786 1 118298 1 118810 1 119322 1 119834 1 120346 1 120858 1 121370 1 121882 1 130586 1 131098 1 131610 1 132122 1 132634 1 133146 1 133658 1 134170 1 134682 1 135194 1 135706 1 136218 1 136730 1 137242 1 137754 1 138266 1 138778 1 139290 1 150554 1 151066 1 151578 1 152090 1 152602 1 153114 1 153626 1 154138 1 154650 1 155162 1 155674 1 156186 1 156698 1 157210 1 157722 1 158234 1 158746 1 171546 1 172058 1 172570 1 173082 1 173594 1 174106 1 174618 1 175130 1 186906 1 187418 1 187930 1 188442 1 188954 1 189466 1 189978 1 190490 1 191002 1 191514 1 192026 1 192538 1 193050 1 193562 1 194074 1 194586 1 195098 1 195610 1 207386 1 207898 1 208410 1 208922 1 209434 1 209946 1 210458 1 210970 1 211482 1 211994 1 212506 1 213018 1 213530 1 214042 1 214554 1 215066 1 244762 1 245274 1 245786 1 246298 1 246810 1 247322 1 247834 1 248346 1 248858 1 249370 1 249882 1 250394 1 250906 1
393_5823_RGB_2020_02_07, 4113 2 4625 2 5137 2 36369 2 36881 2 37393 2 37905 2 38417 2 38929 2 39441 2 39953 2 40465 2 40977 2 41489 2 42001 2 42513 2 43025 2 43537 2 44049 2 44561 2 45073 2 56337 2 56849 2 57361 2 57873 2 58385 2 58897 2 59409 2 59921 2 60433 2 60945 2 61457 2 61969 2 62481 2 62993 2 63505 2 64017 2 64529 2 65041 2 65554 1 75281 2 75793 2 76305 2 76817 2 77329 2 77841 2 78353 2 78865 2 79377 2 79889 2 80401 2 80913 2 81425 2 81937 2 82449 2 82961 2 83473 2 83985 2 94225 2 94737 2 95249 2 95761 2 96273 2 96785 2 97297 2 97809 2 98321 2 98833 2 99345 2 99857 2 100369 2 100881 2 101393 2 101905 2 102417 2 112658 1 113170 1 113681 2 114193 2 114705 2 115217 2 115729 2 116241 2 116753 2 117265 2 117777 2 118289 2 118801 2 119313 2 119825 2 120337 2 120850 1 121362 1 129553 2 130065 2 130577 2 131089 2 131601 2 132113 2 132625 2 133137 2 133649 2 134161 2 134673 2 135185 2 135697 2 136209 2 136721 2 137233 2 137745 2 138257 2 138769 2 139281 2 150033 1 150545 2 151057 2 151569 2 152081 2 152593 2 153105 2 153617 2 154129 2 154641 2 155153 2 155665 2 156177 2 156689 2 157201 2 157713 2 158225 2 158737 2 171537 2 172049 2 172561 2 173073 2 173585 2 174097 2 174609 2 186898 1 187410 1 187921 2 188433 2 188945 2 189457 2 189969 2 190481 2 190993 2 191505 2 192017 2 192529 2 193041 2 193553 2 194065 2 194577 2 206865 1 207377 2 207889 2 208401 2 208913 2 209425 2 209937 2 210449 2 210961 2 211473 2 211985 2 212497 2 213009 2 213521 2 214033 2 214545 2 215057 2 215569 2 216081 2 216593 1 244241 1 244753 1 245265 2 245777 2 246289 2 246801 2 247313 2 247825 2 248337 2 248849 2 249361 2 249873 2 250385 2 250897 1
393_5823_RGB_2020_02_07, 3592 1 4104 1 4616 1 5128 1 5640 1 23048 1 23560 1 38408 1 38920 1 39432 1 39944 1 40456 1 40968 1 41480 1 41992 1 42504 1 43016 1 43528 1 44040 1 44552 1 45064 1 45576 1 57864 1 58376 1 58888 1 59400 1 59912 1 60424 1 60936 1 61448 1 61960 1 62472 1 62984 1 63496 1 64008 1 64520 1 74760 1 75272 1 75784 1 76296 1 76808 1 77320 1 77832 1 78344 1 78856 1 79368 1 79880 1 80392 1 80904 1 81416 1 81928 1 82440 1 82952 1 83464 1 96264 1 96776 1 97288 1 97800 1 98312 1 98824 1 99336 1 99848 1 114184 1 114696 1 115208 1 115720 1 116232 1 116744 1 117256 1 117768 1 118280 1 118792 1 119304 1 130568 1 131080 1 131592 1 132104 1 132616 1 133128 1 133640 1 134152 1 134664 1 135176 1 135688 1 136200 1 136712 1 137224 1 137736 1 138248 1 138760 1 139272 1 139784 1 153608 1 154120 1 154632 1 171016 1 171528 1 172040 1 172552 1 173064 1 173576 1 174088 1 174600 1 175112 1 187400 1 187912 1 188424 1 188936 1 189448 1 189960 1 190472 1 190984 1 191496 1 192008 1 192520 1 193032 1 193544 1 194056 1 194568 1 195080 1 207880 1 208392 1 208904 1 209416 1 209928 1 210440 1 210952 1 211464 1 211976 1 212488 1 213000 1 213512 1 214024 1 214536 1 215048 1 245256 1 245768 1 246280 1 246792 1 247304 1 247816 1 248328 1 248840 1 249352 1 249864 1
393_5823_RGB_2020_02_07, 57354 1 100362 1 113674 1 119818 1 152074 1 156170 1 215562 1
393_5823_RGB_2020_02_07, 3591 1 4103 1 4615 1 5127 1 5639 1 23047 1 23559 1 38407 1 38919 1 39431 1 39943 1 40455 1 40967 1 41479 1 41991 1 42503 1 43015 1 43527 1 44039 1 44551 1 45063 1 45575 1 57863 1 58375 1 58887 1 59399 1 59911 1 60423 1 60935 1 61447 1 61959 1 62471 1 62983 1 63495 1 64007 1 64519 1 74247 1 74759 1 75271 1 75783 1 76295 1 76807 1 77319 1 77831 1 78343 1 78855 1 79367 1 79879 1 80391 1 80903 1 81415 1 81927 1 82439 1 82951 1 83463 1 83975 1 96263 1 96775 1 97287 1 97799 1 98311 1 98823 1 99335 1 99847 1 114183 1 114695 1 115207 1 115719 1 116231 1 116743 1 117255 1 117767 1 118279 1 118791 1 119303 1 119815 1 130567 1 131079 1 131591 1 132103 1 132615 1 133127 1 133639 1 134151 1 134663 1 135175 1 135687 1 136199 1 136711 1 137223 1 137735 1 138247 1 138759 1 139271 1 139783 1 153607 1 154119 1 154631 1 171015 1 171527 1 172039 1 172551 1 173063 1 173575 1 174087 1 174599 1 175111 1 187399 1 187911 1 188423 1 188935 1 189447 1 189959 1 190471 1 190983 1 191495 1 192007 1 192519 1 193031 1 193543 1 194055 1 194567 1 195079 1 207879 1 208391 1 208903 1 209415 1 209927 1 210439 1 210951 1 211463 1 211975 1 212487 1 212999 1 213511 1 214023 1 214535 1 215047 1 215559 1 244743 1 245255 1 245767 1 246279 1 246791 1 247303 1 247815 1 248327 1 248839 1 249351 1 249863 1
393_5823_RGB_2020_02_07, 37925 1
393_5823_RGB_2020_02_07, 65062 1 149542 1
393_5823_RGB_2020_02_07, 4133 1 4645 1 20517 1 21029 1 21541 1 22053 1 22565 1 23077 1 23589 1 24101 1 24613 1 25125 1 25637 1 26149 1 26661 1 27173 1 27685 1 38437 1 38949 1 39461 1 39973 1 40485 1 40997 1 41509 1 42021 1 42533 1 43045 1 43557 1 44069 1 44581 1 56357 1 56869 1 57381 1 57893 1 58405 1 58917 1 59429 1 59941 1 60453 1 60965 1 61477 1 61989 1 62501 1 63013 1 63525 1 64037 1 64549 1 75301 1 75813 1 76325 1 76837 1 77349 1 77861 1 78373 1 78885 1 79397 1 79909 1 80421 1 80933 1 81445 1 81957 1 82469 1 94757 1 95269 1 95781 1 96293 1 96805 1 97317 1 97829 1 98341 1 98853 1 99365 1 99877 1 100389 1 100901 1 101413 1 101925 1 112165 1 112677 1 113189 1 113701 1 114213 1 114725 1 115237 1 115749 1 116261 1 116773 1 117285 1 117797 1 118309 1 118821 1 119333 1 119845 1 120357 1 120869 1 121381 1 121893 1 122405 1 122917 1 130085 1 130597 1 131109 1 131621 1 132133 1 132645 1 133157 1 133669 1 134181 1 134693 1 135205 1 135717 1 136229 1 136741 1 137253 1 137765 1 138277 1 138789 1 139301 1 150053 1 150565 1 151077 1 151589 1 152101 1 152613 1 153125 1 153637 1 154149 1 154661 1 155173 1 155685 1 156197 1 156709 1 157221 1 157733 1 170021 1 170533 1 171045 1 171557 1 172069 1 172581 1 173093 1 173605 1 174117 1 174629 1 175141 1 175653 1 176165 1 176677 1 177189 1 187941 1 188453 1 188965 1 189477 1 189989 1 190501 1 191013 1 191525 1 192037 1 192549 1 193061 1 193573 1 194085 1 194597 1 206373 1 206885 1 207397 1 207909 1 208421 1 208933 1 209445 1 209957 1 210469 1 210981 1 211493 1 212005 1 212517 1 213029 1 213541 1 214053 1 214565 1 245285 1 245797 1 246309 1 246821 1 247333 1 247845 1 248357 1 248869 1 249381 1 249893 1 250405 1
393_5823_RGB_2020_02_07, 4134 1 82470 1 187942 1
